"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.518242245E0,7.239412516E-4,1.700000000E1,7.997804880E-1,1.701880282E1
2.528242245E0,1.071007224E-3,1.700000000E1,8.481184840E-1,1.702114291E1
2.538242245E0,1.420202432E-3,1.700000000E1,8.892223835E-1,1.702324054E1
2.548242245E0,1.782173058E-3,1.700000000E1,9.251670837E-1,1.702515601E1
2.558242245E0,2.137755975E-3,1.700000000E1,9.518166780E-1,1.702662502E1
2.568242245E0,2.486951184E-3,1.700000000E1,9.707072973E-1,1.702769153E1
2.578242245E0,2.825500211E-3,1.700000000E1,9.769831896E-1,1.702805051E1
2.588242245E0,3.169372212E-3,1.700000000E1,9.725894928E-1,1.702779905E1
2.598242245E0,3.528148867E-3,1.700000000E1,9.638426304E-1,1.702730176E1
2.608242245E0,3.866697894E-3,1.700000000E1,9.546027780E-1,1.702678130E1
2.618242245E0,4.225474782E-3,1.700000000E1,9.436499476E-1,1.702617083E1
2.628242245E0,4.573605489E-3,1.700000000E1,9.319732189E-1,1.702552775E1
2.638242245E0,4.914283752E-3,1.700000000E1,9.182055593E-1,1.702477975E1
2.648242245E0,5.250703078E-3,1.700000000E1,9.040737748E-1,1.702402352E1
2.658242245E0,5.252832547E-3,1.700000000E1,8.851832151E-1,1.702303078E1
2.668242245E0,5.247509573E-3,1.700000000E1,8.633797765E-1,1.702191094E1
2.678242245E0,5.234734155E-3,1.700000000E1,8.371794820E-1,1.702060213E1
2.688242245E0,5.238992628E-3,1.700000000E1,8.075820208E-1,1.701917202E1
2.698242245E0,5.238992628E-3,1.700000000E1,7.723377943E-1,1.701753605E1
2.708242245E0,5.235798657E-3,1.700000000E1,7.328212261E-1,1.701578838E1
2.718242245E0,5.230475683E-3,1.700000000E1,6.899979711E-1,1.701399790E1
2.728242245E0,5.234734155E-3,1.700000000E1,6.423519850E-1,1.701213224E1
2.738242245E0,5.231540184E-3,1.700000000E1,5.876529217E-1,1.701015471E1
2.748242245E0,5.228346214E-3,1.700000000E1,5.255877376E-1,1.700812364E1
2.758242245E0,5.230475683E-3,1.700000000E1,4.632351100E-1,1.700631101E1
2.768242245E0,5.223023240E-3,1.700000000E1,3.997007310E-1,1.700469900E1
2.778242245E0,5.221958738E-3,1.700000000E1,3.358863890E-1,1.700331870E1
2.788242245E0,5.223023240E-3,1.647002602E1,2.707965970E-1,1.647225288E1
2.798242245E0,5.216635298E-3,1.597924328E1,2.111566216E-1,1.598063923E1
2.808242245E0,5.221958738E-3,1.553604984E1,1.551139951E-1,1.553682504E1
2.818242245E0,5.224087741E-3,1.510350895E1,1.045701206E-1,1.510387185E1
2.828242245E0,5.238992628E-3,1.469407082E1,5.831240118E-2,1.469418745E1
2.838242245E0,5.238992628E-3,1.429544640E1,1.947189122E-2,1.429546062E1
2.848242245E0,5.234734155E-3,1.391944981E1,-1.284463424E-2,1.391945672E1
2.858242245E0,4.917477258E-3,1.362420845E1,-3.998817131E-2,1.362426802E1
2.868242245E0,4.572540522E-3,1.339027214E1,-5.996575579E-2,1.339040719E1
2.878242245E0,4.219086841E-3,1.317444706E1,-6.976983696E-2,1.317463248E1
2.888242245E0,3.877344076E-3,1.299183750E1,-6.932376325E-2,1.299202303E1
2.898242245E0,3.534536576E-3,1.281422043E1,-6.580200046E-2,1.281438986E1
2.908242245E0,3.191729309E-3,1.264582062E1,-6.245164201E-2,1.264597523E1
2.918242245E0,2.831887919E-3,1.247873497E1,-5.778115615E-2,1.247886906E1
2.928242245E0,2.484821947E-3,1.232979012E1,-5.215677246E-2,1.232990068E1
2.938242245E0,2.136691241E-3,1.212575054E1,-4.472892359E-2,1.212583323E1
2.948242245E0,1.788560767E-3,1.190255165E1,-3.643021360E-2,1.190260754E1
2.958242245E0,1.789625385E-3,1.168105793E1,-2.656544931E-2,1.168108828E1
2.968242245E0,1.793883857E-3,1.146782875E1,-1.574146375E-2,1.146783969E1
2.978242245E0,1.807723893E-3,1.126398945E1,-3.876279574E-3,1.126399026E1
2.988242245E0,1.799206948E-3,1.107331848E1,8.309355006E-3,1.107332175E1
2.998242245E0,1.799206948E-3,1.089634991E1,2.138501219E-2,1.089637104E1
3.008242245E0,1.803465420E-3,1.073716545E1,3.414979950E-2,1.073721991E1
3.018242245E0,1.805594657E-3,1.065945435E1,4.358552024E-2,1.065954361E1
3.028242245E0,1.805594657E-3,1.063666821E1,5.085580796E-2,1.063678993E1
3.038242245E0,1.800271566E-3,1.064309692E1,5.547306314E-2,1.064324164E1
3.048242245E0,1.806659275E-3,1.068040466E1,5.770876259E-2,1.068056072E1
3.058242245E0,1.806659275E-3,1.073665333E1,5.758313835E-2,1.073680789E1
3.068242245E0,1.805594657E-3,1.081326199E1,5.461391434E-2,1.081340005E1
3.078242245E0,1.609704690E-3,1.090420628E1,4.916519299E-2,1.090431723E1
3.088242245E0,1.266897190E-3,1.101559162E1,4.049493000E-2,1.101566613E1
3.098242245E0,9.091850370E-4,1.113855839E1,2.917163819E-2,1.113859662E1
3.108242245E0,5.589252105E-4,1.127776051E1,1.494406350E-2,1.127777042E1
3.118242245E0,2.139885182E-4,1.143031120E1,-1.809853129E-3,1.143031135E1
3.128242245E0,-1.362712937E-4,1.159574509E1,-2.128600143E-2,1.159576462E1
3.138242245E0,-4.854664730E-4,1.176837254E1,-4.211528227E-2,1.176844790E1
