"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.489112044E0,2.440320700E-2,-1.204627603E-1,-1.112805247E0,1.119572379E0
1.499112044E0,2.837849781E-2,-1.517806649E-1,-1.109821081E0,1.120511286E0
1.509112044E0,3.009679355E-2,-1.787741035E-1,-1.107954860E0,1.122688723E0
1.519112044E0,3.177995607E-2,-1.970557421E-1,-1.107799411E0,1.125637804E0
1.529112044E0,3.155106306E-2,-2.101601511E-1,-1.108338118E0,1.128528308E0
1.539112044E0,3.169159219E-2,-2.157206535E-1,-1.109957337E0,1.131169770E0
1.549112044E0,2.605336718E-2,-2.155492455E-1,-1.111840725E0,1.132841583E0
1.559112044E0,2.605975606E-2,-2.090795487E-1,-1.114072084E0,1.133820964E0
1.569112044E0,2.995413356E-2,-1.992435306E-1,-1.116552711E0,1.134585911E0
1.579112044E0,3.298297524E-2,-1.873655766E-1,-1.117996335E0,1.134067697E0
1.589112044E0,3.660161793E-2,-1.743963808E-1,-1.119396329E0,1.133491031E0
1.599112044E0,3.921632469E-2,-1.618083268E-1,-1.119361162E0,1.131675424E0
1.609112044E0,4.179695994E-2,-1.486591995E-1,-1.118380666E0,1.128991522E0
1.619112044E0,4.335450009E-2,-1.407884806E-1,-1.114884377E0,1.124574667E0
1.629112044E0,4.435417801E-2,-1.323684007E-1,-1.109768987E0,1.118515038E0
1.639112044E0,4.412102699E-2,-1.309162527E-1,-1.102779746E0,1.111399522E0
1.649112044E0,4.314157367E-2,-1.304233372E-1,-1.093999743E0,1.102590985E0
1.659112044E0,4.083241522E-2,-1.358252168E-1,-1.084094524E0,1.093332847E0
1.669112044E0,3.826242313E-2,-1.433584690E-1,-1.072923541E0,1.083134612E0
1.679112044E0,3.473427519E-2,-1.544560641E-1,-1.060993433E0,1.072739582E0
1.689112044E0,3.125509992E-2,-1.685250103E-1,-1.048513889E0,1.062430674E0
1.699112044E0,2.782595903E-2,-1.838193238E-1,-1.035979033E0,1.052528567E0
1.709112044E0,2.394329198E-2,-2.007936239E-1,-1.023283482E0,1.043072598E0
1.719112044E0,2.087399364E-2,-2.143100351E-1,-1.011869669E0,1.034526337E0
1.729112044E0,1.182259899E-2,-2.292860299E-1,-1.000442147E0,1.026448414E0
1.739112044E0,-1.236023265E-3,-2.383587211E-1,-9.910255075E-1,1.019287969E0
1.749112044E0,-1.406042930E-2,-2.454756945E-1,-9.821125269E-1,1.012423344E0
1.759112044E0,-2.880327962E-2,-2.453511357E-1,-9.755768180E-1,1.006368191E0
1.769112044E0,-4.472253472E-2,-2.430611402E-1,-9.701174498E-1,1.001102737E0
1.779112044E0,-6.108467281E-2,-2.314323038E-1,-9.663497806E-1,9.955521819E-1
1.789112044E0,-7.880952209E-2,-2.175177336E-1,-9.636169076E-1,9.910007315E-1
1.799112044E0,-9.850178659E-2,-1.966692805E-1,-9.615377188E-1,9.863752797E-1
1.809112044E0,-1.208460256E-1,-1.696428508E-1,-9.613034725E-1,9.836090814E-1
1.819112044E0,-1.427590847E-1,-1.405617148E-1,-9.609138370E-1,9.815768712E-1
1.829112044E0,-1.631795466E-1,-1.053462252E-1,-9.616654515E-1,9.810840088E-1
1.839112044E0,-1.847359687E-1,-6.745535135E-2,-9.621689916E-1,9.820625086E-1
1.849112044E0,-2.045677006E-1,-4.929188266E-2,-9.631112218E-1,9.858300357E-1
1.859112044E0,-2.270982414E-1,-3.267955780E-2,-9.638245106E-1,9.907569086E-1
